id,title,isMarketParty,backgroundImage,commentCount,minimumOrderValue,code,status,area,countReview,isExpressPin,logo,isOpen,preOrderEnabled,deliveryTime,discountValueForView,rating,__typename
112369,دیلی مارکت نارنجستان اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64b8ecfb3c1a6.jpg,0,90000,31zlm2,ACTIVE,بهارستان,13,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64b8ecfb36703.jpg,True,False,30,,8.8,VendorListItem
66310,سوپرمارکت نارنج,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/60a8eb77847dd.jpg,4164,70000,pz87ej,ACTIVE,بهارستان,369,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,9.2,VendorListItem
114116,جانبو اهواز کارگر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/66a0d373a3f44.png,0,80000,3xw5j4,ACTIVE,شهرک برق,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/66a0d373a0207.jpg,True,False,30,,0,VendorListItem
56024,سوپرمارکت هایپر گلها,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/60a6156cae315.jpg,30372,70000,0wzd4q,ACTIVE,پردیس,2046,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,9,VendorListItem
113018,سوپرمارکت دی مارکت,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6561ab8b312ce.jpg,0,70000,37r5wx,ACTIVE,شهرک برق,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6561ab8b29a9a.png,True,False,30,,7.8,VendorListItem
111796,دیلی مارکت خیابان جنت اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6384a9d118203.jpg,23,90000,0wqeez,ACTIVE,شریعتی جنوبی,28,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b60a1a8316d.jpg,True,False,30,,9,VendorListItem
113822,سوپرمارکت خوش اخلاق,False,,0,70000,p5z5nn,ACTIVE,فاز دو پاداد,3,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/663f5f066557d.png,True,False,30,,0,VendorListItem
111795,دیلی مارکت بلوار گلشن اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6384a8bb821c0.jpg,69,90000,32zmm2,ACTIVE,پردیس,22,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b60b6370ded.jpg,True,False,30,,9.2,VendorListItem
113903,جانبو گلشن اهواز(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6664259346adb.png,0,80000,3deryx,ACTIVE,پردیس,1,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6664259341acb.jpg,True,False,30,,0,VendorListItem
113507,سوپرمارکت نگین جنوب,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/65d5bd8d298b6.jpg,0,70000,0mjmeq,ACTIVE,شهرک دانشگاه,2,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65d5bd8d0bcb6.png,True,False,30,,7.4,VendorListItem
112371,دیلی مارکت کوی سعدی اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64b8ec641f0b8.jpg,0,90000,32z2m2,ACTIVE,کوی سعدی,10,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64b8ec6419e75.jpg,True,False,30,,8.8,VendorListItem
113537,دیلی مارکت خیابان مخصوص اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/65df01154c1f2.jpg,0,90000,p8egvr,ACTIVE,شهرک برق,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65df0115194bb.jpg,True,False,30,,9.2,VendorListItem
111794,دیلی مارکت پادادشهر اهواز(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/63849abb9e9f1.jpg,81,90000,p5zjjj,ACTIVE,فاز دو پاداد,19,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b60a4f47b8f.jpg,True,False,30,,9.2,VendorListItem
94180,جانبو پادادشهر اهواز (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/615590558784e.png,3885,80000,0lgyke,ACTIVE,فاز دو پاداد,297,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64342aba32ce7.png,True,False,30,,9,VendorListItem
