id,title,isMarketParty,backgroundImage,commentCount,minimumOrderValue,code,status,area,countReview,isExpressPin,logo,isOpen,preOrderEnabled,deliveryTime,discountValueForView,rating,__typename
113939,هایپراستار سیتی سنتر اصفهان (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6672a70be214f.jpg,0,80000,0njw6z,ACTIVE,سپاهان شهر,1,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6672a70bdea83.png,False,True,30,,0.0,VendorListItem
112283,سوپرمارکت ترنج,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64747b659a39a.jpg,0,70000,0rqjr8,ACTIVE,سپاهان شهر,38,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64747b6593dc9.png,True,False,30,,9.4,VendorListItem
110711,سوپرمارکت فرید,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/62a9d01fa196d.jpg,1385,70000,0rqmx1,ACTIVE,سپاهان شهر,159,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/669bd457ecaa5.jpg,True,False,30,,9.6,VendorListItem
113555,سوپرمارکت هایپر سان,False,,0,75000,0mjmzq,ACTIVE,سپاهان شهر,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65e426bcb84ca.png,True,False,30,,4.8,VendorListItem
114195,سوپر مارکت اردونانس,False,,0,70000,32z112,ACTIVE,مرداویچ,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,0.0,VendorListItem
103413,سوپرمارکت پاریس,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6187b2657774e.jpg,5517,70000,p8ow8y,ACTIVE,مرداویچ,376,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,8.8,VendorListItem
111526,دیلی مارکت امیریه اصفهان 2 (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/631f04bb084eb.jpg,391,90000,09e4nk,ACTIVE,کوی امیریه,26,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b62046b7f18.jpg,True,False,30,,8.6,VendorListItem
112583,سوپرمارکت تک,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64e5dd3c0ad56.jpg,0,70000,0rqv41,ACTIVE,کوی امیریه,20,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64e5dd3c03504.png,True,False,30,,8.6,VendorListItem
112116,دیلی مارکت امیریه اصفهان (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/643cf6109ab8e.jpg,0,90000,3xwjl9,ACTIVE,کوی امیریه,17,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/643cf61094f61.jpg,True,False,30,,9.2,VendorListItem
113020,سوپرمارکت جووانی,False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6561e606cedfe.jpg,0,70000,3kjo7o,ACTIVE,ولی عصر,14,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6561e606c635c.png,True,False,30,,9.0,VendorListItem
