id,title,isMarketParty,backgroundImage,commentCount,minimumOrderValue,code,status,area,countReview,isExpressPin,logo,isOpen,preOrderEnabled,deliveryTime,discountValueForView,rating,__typename
113832,سوپرمارکت ماکان (اسلامشهر),False,,0,70000,0ljmrn,ACTIVE,شهرک قائمیه,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6640d10523c44.png,True,False,30,,0,VendorListItem
111988,دیلی مارکت خیابان مصطفوی (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/63c3fd02b524f.jpg,0,100000,3xwjk2,ACTIVE,کهریزک,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b75e6d4b635.jpg,True,False,45,,0,VendorListItem
113814,فروشگاه هفت قایمیه اسلامشهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/663f23b1e25fc.jpeg,0,80000,p4z75j,ACTIVE,کوی فدک,3,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/663f23b1de085.jfif,True,False,30,,0,VendorListItem
113060,دیلی مارکت میهن اسلامشهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/65756bf3aa43c.jpg,0,90000,pojoyv,ACTIVE,سالور,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65756bf3a4d9d.jpg,True,False,30,,8.8,VendorListItem
111289,سوپرمارکت سورنا 2124 دل مارکت (اسلامشهر),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/62e76519e7165.jpg,0,70000,3ee525,ACTIVE,مهدیه,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,0,VendorListItem
111084,فروشگاه هفت مطهری اسلامشهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/62d7f60a272de.jfif,56,80000,pojqvk,ACTIVE,مطهری,28,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64342a4c8225c.png,True,False,30,,8.8,VendorListItem
112828,دیلی مارکت امام خمینی اسلامشهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/653cebecd1518.jpg,0,90000,0ygv6r,ACTIVE,امام موسی کاظم ,8,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/653cebecc9cd3.jpg,True,False,45,,9.4,VendorListItem
113787,دیلی مارکت بهارستان نسیم شهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/662f4ec286163.jpg,0,80000,0njw1r,ACTIVE,نسیم شهر,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/662f4ec281fe5.jpg,True,False,30,,0,VendorListItem
111528,فروشگاه هفت نسیم شهر(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/631ee65a38c31.jpeg,48,85000,0yg1qy,ACTIVE,نسیم شهر,5,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64342a4c8225c.png,True,False,30,,7.8,VendorListItem
112817,دیلی مارکت بلوار فارسیان چهاردانگه (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/653511bda9534.jpg,0,100000,3ee9nv,ACTIVE,چهاردانگه,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/653511bda2a66.jpg,True,False,45,,9,VendorListItem
112818,دیلی مارکت چهاردانگه گلشهر (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/653515fee0049.jpg,0,100000,37ryqg,ACTIVE,قاسم آباد خشک,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/653515feda7ec.jpg,True,False,45,,7.2,VendorListItem
112485,گندم یافت آباد2 تهران (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64bfd68f4b10a.jpg,0,80000,p8e4dy,ACTIVE,يافت آباد جنوبی,8,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64bfd68f43bff.png,True,False,45,,6.8,VendorListItem
113482,سوپرمارکت ارزان سرای فضلی (یافت اباد),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/65d307670d035.jpg,0,70000,pz9k6o,ACTIVE,یافت اباد شمالی,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65d30766f12b3.png,True,False,45,,6.8,VendorListItem
113257,عمده فروشی پکمارت,False,,0,300000,0q15gy,ACTIVE,هاشمی,3,True,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/662df1a1cdc32.png,True,False,180,,8.2,VendorListItem
114058,جانبوشمالی الغدیر(همواره تخفیف),False,,0,80000,pz916o,ACTIVE,امام خمینی,1,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,45,,0,VendorListItem
109778,سوپرمارکت خانواده (شاد آباد),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/61f9267a4735e.jpg,1818,70000,p6reno,ACTIVE,شمس آباد,208,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,45,,8,VendorListItem
110707,سوپرمارکت بهاران (شهرک خلیج فارس),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/62a81dc201f70.jpg,608,75000,0mjl1v,ACTIVE,خلیج فارس جنوبی,52,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,45,,8.2,VendorListItem
112548,دیلی مارکت شادآباد تهران (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64e1c56f8eea0.jpg,0,100000,0wq9jg,ACTIVE,هفده شهريور,8,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b61dea7773b.jpg,True,False,45,,9.2,VendorListItem
109783,جانبو شادآباد (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/61fa3399e6212.png,0,80000,0ror7o,ACTIVE,هفده شهريور,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/66a0fcb659993.jpg,True,False,45,,0,VendorListItem
