id,title,isMarketParty,backgroundImage,commentCount,minimumOrderValue,code,status,area,countReview,isExpressPin,logo,isOpen,preOrderEnabled,deliveryTime,discountValueForView,rating,__typename
71076,سوپرمارکت پارسا (راهبند),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/60ab4d554ec2b.jpg,5915,70000,0yjvwd,ACTIVE,FIXME,282,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6693830d3d9d7.jpg,True,False,30,,7.6,VendorListItem
112091,دیلی مارکت بلوار کشاورز ساری(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64229c7799db5.jpg,0,90000,0jjn16,ACTIVE,کوی کارگران,8,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65b61766dbabb.jpg,True,False,30,,8.8,VendorListItem
111538,فروشگاه هفت کشاورز ساری(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/631ed4a2c5bfd.jpeg,334,80000,p4z41y,ACTIVE,کوی کارگران,25,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64342a4c8225c.png,True,False,30,,9,VendorListItem
113754,مینو مارت دخانیات ساری (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6626133a87acd.jpg,0,80000,p6z25w,ACTIVE,دخانیات,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6626133a83f0c.jpg,True,False,30,,0,VendorListItem
113911,دیلی مارکت خیابان دخانیات ساری(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6665766679186.jpg,0,90000,0rqy6o,ACTIVE,دخانیات,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6665766674d8b.jpg,True,False,30,,0,VendorListItem
112087,دیلی مارکت خیابان کشاورز ساری (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64218efca9130.jpg,0,90000,0njg7v,ACTIVE,دخانیات,7,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65afa136194f8.jpg,True,False,30,,9,VendorListItem
113774,دیلی مارکت خیابان فردوس ساری(همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/662ce5d225155.jpg,0,90000,09e98n,ACTIVE,جوادیان,0,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/662ce5d21d4f8.jpg,True,False,30,,9.2,VendorListItem
111835,دیلی مارکت بلوار پاسداران ساری (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/63864143462dc.jpg,94,70000,0rqjvz,ACTIVE,آزادی,10,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/65afab083b220.jpg,True,False,30,,8.8,VendorListItem
113669,سوپرمارکت آرت,False,,0,70000,31z4z4,ACTIVE,آزادی,4,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/default.png,True,False,30,,9,VendorListItem
112481,سوپرمارکت هایپر سی پی (عمران),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/64be7234b095d.jpg,0,70000,0q1rew,ACTIVE,جوادیان,52,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/64be7234ab8e5.png,True,False,30,,9.2,VendorListItem
93761,جانبو محراب ساری (همواره تخفیف),False,https://cdn.snapp.express/media/cache/vendor_item_cover/uploads/images/vendors/covers/6603de970d6b2.png,3264,110000,p8d99r,ACTIVE,جوادیان,120,False,https://cdn.snapp.express/media/cache/vendor_logo/uploads/images/vendors/logos/6603de96cd7e3.jpg,True,False,30,,9,VendorListItem
